City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Bluff,NZ,-46.6,168.3333,55.8,73,100,5.14,light rain
80,Matagami,CA,49.7502,-77.6328,41.11,100,1,0.0,clear sky
81,Provideniya,RU,64.3833,-173.3,29.17,69,0,1.34,clear sky
82,Hobart,AU,-42.8794,147.3294,57.25,94,75,13.8,broken clouds
83,Adrar,MR,20.5022,-10.0711,86.02,14,1,3.53,clear sky
84,Doba,TD,8.65,16.85,73.36,88,79,3.76,broken clouds
85,Nanortalik,GL,60.1432,-45.2371,40.78,73,4,2.93,clear sky
86,Seddon,AU,-37.8068,144.8916,74.68,60,40,6.91,scattered clouds
87,Viedma,AR,-40.8135,-62.9967,45.19,54,9,20.36,clear sky
88,Mahebourg,MU,-20.4081,57.7,71.26,83,40,12.66,scattered clouds
89,Tooele,US,40.5308,-112.2983,64.81,41,1,0.0,clear sky
90,Aswan,EG,24.0934,32.907,74.5,43,0,11.5,clear sky
91,Ayr,GB,55.4627,-4.6339,49.5,81,40,10.36,scattered clouds
92,Jamestown,US,42.097,-79.2353,64.71,82,1,8.05,clear sky
93,Hovd,MN,48.0056,91.6419,35.31,32,2,4.36,clear sky
94,Avarua,CK,-21.2078,-159.775,75.25,83,75,6.91,light rain
95,Altamont,US,42.2068,-121.7372,66.76,26,38,2.8,scattered clouds
96,Nouadhibou,MR,20.931,-17.0347,73.38,73,97,8.05,overcast clouds
97,Hualmay,PE,-11.0964,-77.6139,61.9,86,51,7.05,broken clouds
98,Port Alfred,ZA,-33.5906,26.891,53.22,68,85,21.45,light rain
99,Katsuura,JP,35.1333,140.3,78.19,73,8,11.54,clear sky
100,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,48.79,87,75,8.95,moderate rain
101,Mahibadhoo,MV,3.7833,72.9667,82.0,78,19,13.15,few clouds
102,Coquimbo,CL,-29.9533,-71.3436,55.13,82,0,11.5,clear sky
103,Sao Miguel Do Araguaia,BR,-13.275,-50.1628,81.12,52,3,4.0,clear sky
104,Carnarvon,AU,-24.8667,113.6333,68.07,64,90,11.5,overcast clouds
105,Puerto Colombia,CO,10.9878,-74.9547,82.49,81,93,15.64,overcast clouds
106,Galle,LK,6.0367,80.217,80.19,80,72,5.64,broken clouds
107,Lubbock,US,33.6001,-101.8338,68.38,59,10,3.0,clear sky
108,Torbay,CA,47.6666,-52.7314,55.27,89,1,9.22,clear sky
109,Upernavik,GL,72.7868,-56.1549,30.25,72,100,7.65,overcast clouds
110,Hamilton,US,39.1834,-84.5333,72.9,91,100,7.34,overcast clouds
111,Butaritari,KI,3.0707,172.7902,82.15,68,23,18.25,few clouds
112,Krasnoselkup,RU,65.7,82.4667,27.36,94,100,10.6,overcast clouds
113,Sovetskaya,RU,44.7769,41.1722,48.49,82,99,16.98,overcast clouds
114,Gorontalo,ID,0.5412,123.0595,85.51,71,100,1.52,overcast clouds
115,Saint Anthony,US,45.0205,-93.218,67.24,94,90,1.99,overcast clouds
116,Fortuna,US,40.5982,-124.1573,57.92,60,19,1.01,few clouds
117,Lebu,CL,-37.6167,-73.65,48.24,72,6,17.78,clear sky
118,Vao,NC,-22.6667,167.4833,72.3,92,97,14.45,overcast clouds
119,Narsaq,GL,60.9167,-46.05,38.73,63,0,2.35,clear sky
120,Marawi,PH,7.9986,124.2928,75.65,68,56,3.65,broken clouds
